key,review_text,CSI,category,familiarity,impact,reason,explanation,reformulation
112153+self:USA+fiction,"The author is way too wedded to environmental determinism for this to be a long lived or worthwhile book. Had he entertained other theories he might have veered closer to the truth. As it is he is too highly dismissive of great ideas or great people. Also, annoyingly, he disparages all of his critics as being racist if they disagree with him. 
 I was enjoying his facts, when not tinged with his opinions, until I started checking some, alas, like his theories & opinions they didn't pan out, or were tilted to support his assertions. 
 Another reviewer - Molly said ""As an exercise in materialist theory this book is magnificent. I would recommend this book ONLY to people in Anthropology with a great understanding of theory, less educated or unwarned people might think this book is fact rather than an exercise in speculation"" & she is completely right. You have to pay very close attention to his language to realize that huge castles in the air are built entirely on the words 'might' & 'maybe'. To Diamond's credit, these words in many cases are there. But the overall work is 'an exercise in speculation'.",environmental determinism,Customs,Somewhat familiar,Medium,The concept of environmental determinism might not be widely understood by someone with an urban USA background.,Theory that environment shapes human societies and cultures.,"The author is too focused on environmental determinism, making the book less valuable. Considering other theories might have brought him closer to the truth. He dismisses great ideas and people and labels critics as racist. I enjoyed his facts until I checked them; they often didn't hold up or were biased. Another reviewer, Molly, said, 'As a materialist theory exercise, this book is great. I'd recommend it only to those in Anthropology who understand theory; others might mistake it for fact.' She's right. You must pay close attention to his language to see that much of it is speculative. To Diamond's credit, he often uses words like 'might' and 'maybe,' but overall, the work is speculative."
112153+self:USA+fiction,"The author is way too wedded to environmental determinism for this to be a long lived or worthwhile book. Had he entertained other theories he might have veered closer to the truth. As it is he is too highly dismissive of great ideas or great people. Also, annoyingly, he disparages all of his critics as being racist if they disagree with him. 
 I was enjoying his facts, when not tinged with his opinions, until I started checking some, alas, like his theories & opinions they didn't pan out, or were tilted to support his assertions. 
 Another reviewer - Molly said ""As an exercise in materialist theory this book is magnificent. I would recommend this book ONLY to people in Anthropology with a great understanding of theory, less educated or unwarned people might think this book is fact rather than an exercise in speculation"" & she is completely right. You have to pay very close attention to his language to realize that huge castles in the air are built entirely on the words 'might' & 'maybe'. To Diamond's credit, these words in many cases are there. But the overall work is 'an exercise in speculation'.",materialist theory,Customs,Somewhat familiar,Medium,Materialist theory is a specific academic concept that may not be familiar to a general audience.,Theory focusing on material conditions as the primary influence on society.,"The author is too focused on environmental determinism, making the book less valuable. Considering other theories might have brought him closer to the truth. He dismisses great ideas and people and labels critics as racist. I enjoyed his facts until I checked them; they often didn't hold up or were biased. Another reviewer, Molly, said, 'As a materialist theory exercise, this book is great. I'd recommend it only to those in Anthropology who understand theory; others might mistake it for fact.' She's right. You must pay close attention to his language to see that much of it is speculative. To Diamond's credit, he often uses words like 'might' and 'maybe,' but overall, the work is speculative."
112153+self:USA+fiction,"The author is way too wedded to environmental determinism for this to be a long lived or worthwhile book. Had he entertained other theories he might have veered closer to the truth. As it is he is too highly dismissive of great ideas or great people. Also, annoyingly, he disparages all of his critics as being racist if they disagree with him. 
 I was enjoying his facts, when not tinged with his opinions, until I started checking some, alas, like his theories & opinions they didn't pan out, or were tilted to support his assertions. 
 Another reviewer - Molly said ""As an exercise in materialist theory this book is magnificent. I would recommend this book ONLY to people in Anthropology with a great understanding of theory, less educated or unwarned people might think this book is fact rather than an exercise in speculation"" & she is completely right. You have to pay very close attention to his language to realize that huge castles in the air are built entirely on the words 'might' & 'maybe'. To Diamond's credit, these words in many cases are there. But the overall work is 'an exercise in speculation'.",Anthropology,Customs,Familiar,Low,"While the term is known, its specific academic context might not be clear to everyone.","Study of human societies, cultures, and their development.","The author is too focused on environmental determinism, making the book less valuable. Considering other theories might have brought him closer to the truth. He dismisses great ideas and people and labels critics as racist. I enjoyed his facts until I checked them; they often didn't hold up or were biased. Another reviewer, Molly, said, 'As a materialist theory exercise, this book is great. I'd recommend it only to those in Anthropology who understand theory; others might mistake it for fact.' She's right. You must pay close attention to his language to see that much of it is speculative. To Diamond's credit, he often uses words like 'might' and 'maybe,' but overall, the work is speculative."
112153+self:USA+fiction,"The author is way too wedded to environmental determinism for this to be a long lived or worthwhile book. Had he entertained other theories he might have veered closer to the truth. As it is he is too highly dismissive of great ideas or great people. Also, annoyingly, he disparages all of his critics as being racist if they disagree with him. 
 I was enjoying his facts, when not tinged with his opinions, until I started checking some, alas, like his theories & opinions they didn't pan out, or were tilted to support his assertions. 
 Another reviewer - Molly said ""As an exercise in materialist theory this book is magnificent. I would recommend this book ONLY to people in Anthropology with a great understanding of theory, less educated or unwarned people might think this book is fact rather than an exercise in speculation"" & she is completely right. You have to pay very close attention to his language to realize that huge castles in the air are built entirely on the words 'might' & 'maybe'. To Diamond's credit, these words in many cases are there. But the overall work is 'an exercise in speculation'.",castles in the air,Linguistic,Familiar,Low,This idiom might be understood but could be confusing in this context.,Unrealistic or impractical ideas or plans.,"The author is too focused on environmental determinism, making the book less valuable. Considering other theories might have brought him closer to the truth. He dismisses great ideas and people and labels critics as racist. I enjoyed his facts until I checked them; they often didn't hold up or were biased. Another reviewer, Molly, said, 'As a materialist theory exercise, this book is great. I'd recommend it only to those in Anthropology who understand theory; others might mistake it for fact.' She's right. You must pay close attention to his language to see that much of it is speculative. To Diamond's credit, he often uses words like 'might' and 'maybe,' but overall, the work is speculative."
49433+self:USA+fiction,"I'm always more critical of books *I* choose for book club, so this rating may be a little harsher than otherwise. 
 Very complex, detailed story--some parts felt like work to read, but it all mattered to the plot in the end. I recommend going back and re-reading the prologue when you finish the book.",,,,,,,
112154+self:USA+fiction,"This book was pretty neat. I thought it explained well the whys of the different nations/realms of the world and the author explained it with distinct reasons such as food, animals, minerals, climate, geography, etc. 
 This is a perfect blend of geography and history. 
 I didn't think he talked about South America enough though.",,,,,,,
111772+self:USA+fiction,"I hate the fact that it is an international bestseller. I hate that people would read this book and assume it is about us. ""A novel from Dubai""??? I am from Dubai and all my ancestors were too. It is shameful and disgraceful what she wrote about us. WE ARE NOT LIKE THAT. Maha Gargash does not represent our culture, no matter that she loves it and wants to write about it. I can see that people want to know more about our culture, but please don't believe everything you read.",Dubai,Ecology,Somewhat familiar,Medium,"While Dubai is a well-known city, its specific cultural context and nuances might not be fully understood by someone from urban USA.","Dubai is a city in the UAE known for luxury shopping, ultramodern architecture, and a lively nightlife scene.","I dislike that this book is an international bestseller. I dislike that people might read it and think it represents us. 'A novel from Dubai'??? I am from Dubai, and so were my ancestors. It's shameful and disgraceful what she wrote about us. WE ARE NOT LIKE THAT. Maha Gargash does not represent our culture, even if she loves it and wants to write about it. I understand people want to know more about our culture, but please don't believe everything you read."
111772+self:USA+fiction,"I hate the fact that it is an international bestseller. I hate that people would read this book and assume it is about us. ""A novel from Dubai""??? I am from Dubai and all my ancestors were too. It is shameful and disgraceful what she wrote about us. WE ARE NOT LIKE THAT. Maha Gargash does not represent our culture, no matter that she loves it and wants to write about it. I can see that people want to know more about our culture, but please don't believe everything you read.",Maha Gargash,Linguistic,Unfamiliar,Low,"The name might not be familiar to someone from urban USA, making it harder to relate to the author's cultural background.",Maha Gargash is an Emirati author known for writing about Middle Eastern culture.,"I dislike that this book is an international bestseller. I dislike that people might read it and think it represents us. 'A novel from Dubai'??? I am from Dubai, and so were my ancestors. It's shameful and disgraceful what she wrote about us. WE ARE NOT LIKE THAT. Maha Gargash does not represent our culture, even if she loves it and wants to write about it. I understand people want to know more about our culture, but please don't believe everything you read."
111773+self:USA+fiction,"This book is a good intro into UAE history without being too overwhelming. I liked the cultural information and perspective. I thoroughly enjoyed the plot but did not find it heart wrenching, which was a relief. I wanted something educational but not too heavy and that is what I got.",,,,,,,
111774+self:USA+fiction,"This story about a woman's life in a traditional Arab society promised so much, but ended up feeling like there was maybe too much influence from the Western publishers to spice up the story to make it sell to a Western romance market. The end result is a novel that feels like a series of undeveloped plot points. 
 Full review mmmporium.com/sandfish",traditional Arab society,Social,Somewhat familiar,Medium,The concept of a traditional Arab society may not be fully understood due to cultural differences and lack of exposure.,"A society with customs, norms, and social structures typical of Arab countries, often conservative.","This story about a woman's life in a conservative Arab society promised so much, but ended up feeling like there was maybe too much influence from the Western publishers to spice up the story to make it sell to a Western romance market. The end result is a novel that feels like a series of undeveloped plot points. Full review mmmporium.com/sandfish"
28829+self:USA+fiction,"I haven't read a King novel since we were both young(ish). I decided to read - more accurately, listen to - this one because of the genre and praise and awards. I enjoyed it until the ending, which had me rolling my eyes and shaking my head. I had the sense an editor told King he needed a big finish. Oh well. I think I'll try the next one and hope for better.",,,,,,,
97443+self:USA+fiction,"It was a quick read. 
 The story is as fast as a bullet train. Fisssssss...ooouiuu.....! 
 Mr Arvind's writing is commendable for the reason of bringing out the stark truth of the life of poor (Darkness) and rich (Light) of India through eye of a chauffeur. 
 The whole story is addressed to the former state head of ""People's Republic of China"". 
 For detailed review please follow the link: https://en.wikipedia.org/wiki/The_Whi...",People's Republic of China,Customs,Somewhat familiar,Low,"While the term is known, its political and cultural significance might not be fully understood by someone from urban USA.","A country in East Asia, known for its unique political system and cultural practices.","It was a quick read. The story is as fast as a bullet train. Fisssssss...ooouiuu.....! Mr. Arvind's writing is commendable for revealing the stark truth of the life of poor (Darkness) and rich (Light) in India through the eyes of a chauffeur. The whole story is addressed to the former leader of China. For a detailed review, please follow the link: https://en.wikipedia.org/wiki/The_Whi..."
97443+self:USA+fiction,"It was a quick read. 
 The story is as fast as a bullet train. Fisssssss...ooouiuu.....! 
 Mr Arvind's writing is commendable for the reason of bringing out the stark truth of the life of poor (Darkness) and rich (Light) of India through eye of a chauffeur. 
 The whole story is addressed to the former state head of ""People's Republic of China"". 
 For detailed review please follow the link: https://en.wikipedia.org/wiki/The_Whi...",Darkness,Linguistic,Ambiguous,Medium,The metaphorical use of 'Darkness' to describe poverty in India might not be immediately clear.,'Darkness' symbolizes poverty and lack of opportunities in India.,"It was a quick read. The story is as fast as a bullet train. Fisssssss...ooouiuu.....! Mr. Arvind's writing is commendable for revealing the stark truth of the life of poor (Darkness) and rich (Light) in India through the eyes of a chauffeur. The whole story is addressed to the former leader of China. For a detailed review, please follow the link: https://en.wikipedia.org/wiki/The_Whi..."
97443+self:USA+fiction,"It was a quick read. 
 The story is as fast as a bullet train. Fisssssss...ooouiuu.....! 
 Mr Arvind's writing is commendable for the reason of bringing out the stark truth of the life of poor (Darkness) and rich (Light) of India through eye of a chauffeur. 
 The whole story is addressed to the former state head of ""People's Republic of China"". 
 For detailed review please follow the link: https://en.wikipedia.org/wiki/The_Whi...",Light,Linguistic,Ambiguous,Medium,The metaphorical use of 'Light' to describe wealth in India might not be immediately clear.,'Light' symbolizes wealth and opportunities in India.,"It was a quick read. The story is as fast as a bullet train. Fisssssss...ooouiuu.....! Mr. Arvind's writing is commendable for revealing the stark truth of the life of poor (Darkness) and rich (Light) in India through the eyes of a chauffeur. The whole story is addressed to the former leader of China. For a detailed review, please follow the link: https://en.wikipedia.org/wiki/The_Whi..."
71332+self:USA+fiction,"DISAPPOINTED 
 After the first two books, I had high hopes. The plot was good; it had purpose - ""Evil"" had risen in Meluha, Shiva had to stop it. 
 And then came ""the oath of vayuputras"" . Instead of the story being about Shiva and his ultimate triumph over evil, it became the story about, the balance between ""Good"" and ""Evil"". that had been destroyed(seriously!) and that Shiva must remove ""Evil"" and restore ""Good"".All this was told over in like 50 pages with words good & evil being repeated in every other sentence. 
 Most disappointing about this book was the terrible ending. it took me days to complete this book. 
 the title of the book is ""oath"" of vayuputras! 
 what oath? 
 it could have been batter",Meluha,Material,Unfamiliar,Medium,"Meluha is a fictional place in the book, which may not be familiar to someone from an urban USA background.",Meluha is a fictional ancient civilization in the Shiva Trilogy.,"DISAPPOINTED After the first two books, I had high hopes. The plot was good; it had purpose - 'Evil' had risen in a fictional ancient civilization, and Shiva had to stop it. And then came 'the oath of vayuputras'. Instead of the story being about Shiva and his ultimate triumph over evil, it became the story about the balance between 'Good' and 'Evil' that had been destroyed (seriously!) and that Shiva must remove 'Evil' and restore 'Good'. All this was told over in like 50 pages with words good & evil being repeated in every other sentence. Most disappointing about this book was the terrible ending. It took me days to complete this book. The title of the book is 'oath' of vayuputras! What oath? It could have been better."
71332+self:USA+fiction,"DISAPPOINTED 
 After the first two books, I had high hopes. The plot was good; it had purpose - ""Evil"" had risen in Meluha, Shiva had to stop it. 
 And then came ""the oath of vayuputras"" . Instead of the story being about Shiva and his ultimate triumph over evil, it became the story about, the balance between ""Good"" and ""Evil"". that had been destroyed(seriously!) and that Shiva must remove ""Evil"" and restore ""Good"".All this was told over in like 50 pages with words good & evil being repeated in every other sentence. 
 Most disappointing about this book was the terrible ending. it took me days to complete this book. 
 the title of the book is ""oath"" of vayuputras! 
 what oath? 
 it could have been batter",Shiva,Customs,Somewhat familiar,Low,"Shiva is a significant figure in Hindu mythology, which may not be fully understood by someone from an urban USA background.","Shiva is a major Hindu deity, often known as the destroyer and transformer.","DISAPPOINTED After the first two books, I had high hopes. The plot was good; it had purpose - 'Evil' had risen in a fictional ancient civilization, and Shiva had to stop it. And then came 'the oath of vayuputras'. Instead of the story being about Shiva and his ultimate triumph over evil, it became the story about the balance between 'Good' and 'Evil' that had been destroyed (seriously!) and that Shiva must remove 'Evil' and restore 'Good'. All this was told over in like 50 pages with words good & evil being repeated in every other sentence. Most disappointing about this book was the terrible ending. It took me days to complete this book. The title of the book is 'oath' of vayuputras! What oath? It could have been better."
71332+self:USA+fiction,"DISAPPOINTED 
 After the first two books, I had high hopes. The plot was good; it had purpose - ""Evil"" had risen in Meluha, Shiva had to stop it. 
 And then came ""the oath of vayuputras"" . Instead of the story being about Shiva and his ultimate triumph over evil, it became the story about, the balance between ""Good"" and ""Evil"". that had been destroyed(seriously!) and that Shiva must remove ""Evil"" and restore ""Good"".All this was told over in like 50 pages with words good & evil being repeated in every other sentence. 
 Most disappointing about this book was the terrible ending. it took me days to complete this book. 
 the title of the book is ""oath"" of vayuputras! 
 what oath? 
 it could have been batter",vayuputras,Linguistic,Unfamiliar,High,The term 'vayuputras' is specific to the book and may not be understood by someone from an urban USA background.,"Vayuputras are a fictional group in the Shiva Trilogy, meaning 'sons of the wind god'.","DISAPPOINTED After the first two books, I had high hopes. The plot was good; it had purpose - 'Evil' had risen in a fictional ancient civilization, and Shiva had to stop it. And then came 'the oath of vayuputras'. Instead of the story being about Shiva and his ultimate triumph over evil, it became the story about the balance between 'Good' and 'Evil' that had been destroyed (seriously!) and that Shiva must remove 'Evil' and restore 'Good'. All this was told over in like 50 pages with words good & evil being repeated in every other sentence. Most disappointing about this book was the terrible ending. It took me days to complete this book. The title of the book is 'oath' of vayuputras! What oath? It could have been better."
101285+self:USA+fiction,"Many stories written by Ruskin Bond are semi-autobiographical, and after having read so many of them, I made the mistake of assuming that this book won't having anything new to offer. How wrong I was and how glad I am to have picked up this book! The words are beautifully crafted and are so full of warm memories that they would invoke nostalgia in you, making you want to write down your own precious childhood memories. No doubt, it is a great book and definitely, it is a must-read for lovers of Ruskin Bond's writings.",,,,,,,
50086+self:USA+fiction,"In 1985 Abraham Verghese, a young Indian doctor specializing in infectious diseases, was working in Johnson City, Tennessee. Nestled in the Smoky Mountains, the town had always seemed exempt from the anxieties and modern American life. But that summer, the local hospital treated its first AIDS patient, and before long a crisis that had once seemed an ""urban problem"" had arrived in town to stay. 
 This is Verghese's memoir of that time. Using several case studies to illustrate, he tells the community's story as well as that of his own personal journey. It is informative, inspiring, tender, frightening, compassionate and memorable. 
 This is a story of courage and fear, of uninformed reactions and thoughtful response, of death and living, of bemoaning one's fate and rising to the occasion, of being an outsider and belonging to a community, of angry denial and graceful acceptance. Verghese is eloquent in describing his surroundings, patients and others in the town and surrounding area.",Abraham Verghese,Linguistic,Somewhat familiar,Low,"The name might not be widely recognized in the urban USA, affecting the context of the review.",Abraham Verghese is an Indian-American physician and author known for his work in medicine and literature.,"In 1985, Abraham Verghese, a young Indian-American doctor specializing in infectious diseases, was working in a small city in Tennessee. Nestled in the Smoky Mountains, the town had always seemed exempt from the anxieties of modern American life. But that summer, the local hospital treated its first AIDS patient, and soon a crisis that had once seemed an 'urban problem' had arrived in town to stay. This is Verghese's memoir of that time. Using several case studies to illustrate, he tells the community's story as well as his own personal journey. It is informative, inspiring, tender, frightening, compassionate, and memorable. This is a story of courage and fear, of uninformed reactions and thoughtful responses, of death and living, of bemoaning one's fate and rising to the occasion, of being an outsider and belonging to a community, of angry denial and graceful acceptance. Verghese is eloquent in describing his surroundings, patients, and others in the town and surrounding area."
